TITLE     = "CFD++ results at NT=2400, TAU=0.000000"
VARIABLES = "X"
"dp/p"
ZONE T="Extracted Points"
 STRANDID=0, SOLUTIONTIME=0
 I=973, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 0.10770740E+03  -0.26683075E-02
 0.10793574E+03  -0.26581096E-02
 0.10816408E+03  -0.26479118E-02
 0.10839242E+03  -0.26377139E-02
 0.10862075E+03  -0.26275161E-02
 0.10884909E+03  -0.26173182E-02
 0.10907743E+03  -0.26071203E-02
 0.10930577E+03  -0.25969225E-02
 0.10953411E+03  -0.25867246E-02
 0.10976244E+03  -0.25765268E-02
 0.10999078E+03  -0.25663289E-02
 0.11021912E+03  -0.25561310E-02
 0.11044746E+03  -0.25459332E-02
 0.11067580E+03  -0.25357353E-02
 0.11090413E+03  -0.25255375E-02
 0.11113247E+03  -0.25153396E-02
 0.11136081E+03  -0.25051417E-02
 0.11158915E+03  -0.24949439E-02
 0.11181749E+03  -0.24847460E-02
 0.11204582E+03  -0.24745482E-02
 0.11227416E+03  -0.24643503E-02
 0.11250250E+03  -0.24541524E-02
 0.11273084E+03  -0.24439546E-02
 0.11295918E+03  -0.24337567E-02
 0.11318751E+03  -0.24235589E-02
 0.11341585E+03  -0.24133610E-02
 0.11364419E+03  -0.24031631E-02
 0.11387253E+03  -0.23957452E-02
 0.11410087E+03  -0.23890193E-02
 0.11432920E+03  -0.23822934E-02
 0.11455754E+03  -0.23755675E-02
 0.11478588E+03  -0.23688416E-02
 0.11501422E+03  -0.23621157E-02
 0.11524256E+03  -0.23553897E-02
 0.11547089E+03  -0.23486638E-02
 0.11569923E+03  -0.23419379E-02
 0.11592757E+03  -0.23352120E-02
 0.11615591E+03  -0.23284861E-02
 0.11638425E+03  -0.23217602E-02
 0.11661258E+03  -0.23150343E-02
 0.11684092E+03  -0.23083083E-02
 0.11706926E+03  -0.23015824E-02
 0.11729760E+03  -0.22948565E-02
 0.11752594E+03  -0.22881306E-02
 0.11775427E+03  -0.22814047E-02
 0.11798261E+03  -0.22746788E-02
 0.11821095E+03  -0.22679529E-02
 0.11843929E+03  -0.22612269E-02
 0.11866763E+03  -0.22545010E-02
 0.11889596E+03  -0.22477751E-02
 0.11912430E+03  -0.22410492E-02
 0.11935264E+03  -0.22343233E-02
 0.11958098E+03  -0.22275974E-02
 0.11980931E+03  -0.22208715E-02
 0.12003765E+03  -0.22141455E-02
 0.12026599E+03  -0.22074196E-02
 0.12049433E+03  -0.22006937E-02
 0.12072267E+03  -0.21939678E-02
 0.12095100E+03  -0.21872419E-02
 0.12117934E+03  -0.21805160E-02
 0.12140768E+03  -0.21737901E-02
 0.12163602E+03  -0.21670641E-02
 0.12186436E+03  -0.21603382E-02
 0.12209269E+03  -0.21536123E-02
 0.12232103E+03  -0.21468864E-02
 0.12254937E+03  -0.21401605E-02
 0.12277771E+03  -0.21334346E-02
 0.12300605E+03  -0.21267087E-02
 0.12323438E+03  -0.21199827E-02
 0.12346272E+03  -0.21132568E-02
 0.12369106E+03  -0.21065309E-02
 0.12391940E+03  -0.20998050E-02
 0.12414774E+03  -0.20930791E-02
 0.12437607E+03  -0.20863532E-02
 0.12460441E+03  -0.20796273E-02
 0.12483275E+03  -0.20729013E-02
 0.12506109E+03  -0.20661754E-02
 0.12528943E+03  -0.20594495E-02
 0.12551776E+03  -0.20527236E-02
 0.12574610E+03  -0.20459977E-02
 0.12597444E+03  -0.20392718E-02
 0.12620278E+03  -0.20325459E-02
 0.12643112E+03  -0.20258199E-02
 0.12665945E+03  -0.20190940E-02
 0.12688779E+03  -0.20123681E-02
 0.12711613E+03  -0.20056422E-02
 0.12734447E+03  -0.19989163E-02
 0.12757281E+03  -0.19921904E-02
 0.12780114E+03  -0.19854645E-02
 0.12802948E+03  -0.19787385E-02
 0.12825782E+03  -0.19720126E-02
 0.12848616E+03  -0.19652867E-02
 0.12871450E+03  -0.19585608E-02
 0.12894283E+03  -0.19518349E-02
 0.12917117E+03  -0.19451090E-02
 0.12939951E+03  -0.19383831E-02
 0.12962785E+03  -0.19316571E-02
 0.12985619E+03  -0.19249312E-02
 0.13008452E+03  -0.19182053E-02
 0.13031286E+03  -0.19114794E-02
 0.13054120E+03  -0.19047535E-02
 0.13076954E+03  -0.18980276E-02
 0.13099787E+03  -0.18913017E-02
 0.13122621E+03  -0.18845757E-02
 0.13145455E+03  -0.18778498E-02
 0.13168289E+03  -0.18711239E-02
 0.13191123E+03  -0.18643980E-02
 0.13213956E+03  -0.18576721E-02
 0.13236790E+03  -0.18509462E-02
